 Date  EpochDay  Avg_Irradiance_New  Avg_Irradiance_Old
 790416  -258.50  1361.3603  1366.4427
 790417  -257.50  1361.4330  1366.5157
 790418  -256.50  1361.6247  1366.7082
 790419  -255.50  1361.8959  1366.9804
 790420  -254.50   -98.6318   -99.0000
 790421  -253.50   -98.6318   -99.0000
 790422  -252.50  1361.9467  1367.0313
 790423  -251.50  1361.6828  1366.7665
 790424  -250.50   -98.6318   -99.0000
 790425  -249.50  1361.6110  1366.6944
 790426  -248.50  1361.5451  1366.6282
 790427  -247.50  1361.4098  1366.4925
 790428  -246.50  1361.4728  1366.5557
 790429  -245.50  1361.4168  1366.4995
 790430  -244.50   -98.6318   -99.0000
 790501  -243.50  1360.7799  1365.8601
 790502  -242.50   -98.6318   -99.0000
 790503  -241.50  1361.4412  1366.5240
 790504  -240.50  1361.7423  1366.8262
 790505  -239.50  1362.0137  1367.0986
 790506  -238.50   -98.6318   -99.0000
 790507  -237.50  1361.8726  1366.9569
 790508  -236.50  1361.8862  1366.9706
 790509  -235.50  1361.5826  1366.6659
 790510  -234.50   -98.6318   -99.0000
 790511  -233.50  1360.9656  1366.0466
 790512  -232.50   -98.6318   -99.0000
 790513  -231.50  1361.0424  1366.1237
 790514  -230.50  1361.3830  1366.4656
 790515  -229.50  1361.4066  1366.4892
 790516  -228.50   -98.6318   -99.0000
 790517  -227.50  1361.5331  1366.6162
 790518  -226.50   -98.6318   -99.0000
 790519  -225.50  1361.8183  1366.9025
 790520  -224.50  1361.9511  1367.0357
 790521  -223.50  1361.8954  1366.9799
 790522  -222.50   -98.6318   -99.0000
 790523  -221.50  1361.5563  1366.6395
 790524  -220.50  1361.9367  1367.0213
 790525  -219.50  1362.1091  1367.1943
 790526  -218.50   -98.6318   -99.0000
 790527  -217.50  1361.8689  1366.9533
 790528  -216.50  1362.1106  1367.1959
 790529  -215.50  1362.0549  1367.1400
 790530  -214.50   -98.6318   -99.0000
 790531  -213.50  1361.7753  1366.8593
 790601  -212.50  1361.6602  1366.7438
 790602  -211.50  1360.9108  1365.9915
 790603  -210.50   -98.6318   -99.0000
 790604  -209.50  1360.7376  1365.8178
 790605  -208.50  1360.6820  1365.7619
 790606  -207.50  1360.7452  1365.8254
 790607  -206.50   -98.6318   -99.0000
 790608  -205.50  1360.8420  1365.9225
 790609  -204.50  1360.8063  1365.8866
 790610  -203.50  1360.4730  1365.5521
 790611  -202.50   -98.6318   -99.0000
 790612  -201.50  1360.4410  1365.5200
 790613  -200.50  1360.8612  1365.9418
 790614  -199.50  1361.2023  1366.2842
 790615  -198.50   -98.6318   -99.0000
 790616  -197.50  1361.3091  1366.3914
 790617  -196.50  1361.5113  1366.5943
 790618  -195.50  1361.6837  1366.7674
 790619  -194.50   -98.6318   -99.0000
 790620  -193.50  1361.6319  1366.7153
 790621  -192.50  1361.8341  1366.9183
 790622  -191.50  1361.9867  1367.0715
 790623  -190.50   -98.6318   -99.0000
 790624  -189.50  1361.6670  1366.7506
 790625  -188.50  1361.8494  1366.9336
 790626  -187.50  1362.0614  1367.1464
 790627  -186.50   -98.6318   -99.0000
 790628  -185.50  1361.9599  1367.0446
 790629  -184.50  1361.9835  1367.0683
 790630  -183.50  1362.0567  1367.1417
 790701  -182.50   -98.6318   -99.0000
 790702  -181.50  1361.3206  1366.4029
 790703  -180.50  1361.3541  1366.4366
 790704  -179.50  1361.3381  1366.4204
 790705  -178.50   -98.6318   -99.0000
 790706  -177.50  1361.2862  1366.3684
 790707  -176.50  1361.4585  1366.5413
 790708  -175.50  1361.6309  1366.7144
 790709  -174.50   -98.6318   -99.0000
 790710  -173.50  1361.4698  1366.5527
 790711  -172.50  1361.6918  1366.7755
 790712  -171.50  1361.8541  1366.9384
 790713  -170.50   -98.6318   -99.0000
 790714  -169.50  1361.9330  1367.0176
 790715  -168.50  1361.9168  1367.0013
 790716  -167.50  1361.8214  1366.9056
 790717  -166.50   -98.6318   -99.0000
 790718  -165.50  1361.6701  1366.7537
 790719  -164.50  1361.6738  1366.7574
 790720  -163.50  1361.5783  1366.6616
 790721  -162.50   -98.6318   -99.0000
 790722  -161.50  1361.4270  1366.5097
 790723  -160.50  1361.7182  1366.8020
 790724  -159.50  1361.8209  1366.9051
 790725  -158.50   -98.6318   -99.0000
 790726  -157.50  1361.6894  1366.7731
 790727  -156.50  1362.0995  1367.1847
 790728  -155.50  1362.0634  1367.1485
 790729  -154.50   -98.6318   -99.0000
 790730  -153.50  1361.9120  1366.9965
 790731  -152.50  1362.0544  1367.1395
 790801  -151.50  1362.0481  1367.1331
 790802  -150.50   -98.6318   -99.0000
 790803  -149.50  1361.7876  1366.8717
 790804  -148.50  1361.7615  1366.8455
 790805  -147.50  1361.8840  1366.9684
 790806  -146.50   -98.6318   -99.0000
 790807  -145.50  1361.6631  1366.7467
 790808  -144.50  1361.6468  1366.7303
 790809  -143.50  1361.7693  1366.8532
 790810  -142.50   -98.6318   -99.0000
 790811  -141.50  1361.0129  1366.0941
 790812  -140.50  1361.0561  1366.1374
 790813  -139.50  1361.1686  1366.2504
 790814  -138.50   -98.6318   -99.0000
 790815  -137.50  1360.8682  1365.9488
 790816  -136.50  1360.6536  1365.7334
 790817  -135.50  1360.6174  1365.6970
 790818  -134.50   -98.6318   -99.0000
 790819  -133.50  1360.1782  1365.2563
 790820  -132.50  1360.2411  1365.3194
 790821  -131.50  1359.9472  1365.0244
 790822  -130.50   -98.6318   -99.0000
 790823  -129.50  1359.7955  1364.8721
 790824  -128.50  1360.4236  1365.5025
 790825  -127.50  1360.1494  1365.2273
 790826  -126.50   -98.6318   -99.0000
 790827  -125.50  1359.9581  1365.0353
 790828  -124.50  1360.5166  1365.5959
 790829  -123.50  1361.6403  1366.7238
 790830  -122.50   -98.6318   -99.0000
 790831  -121.50  1361.4191  1366.5018
 790901  -120.50  1361.1349  1366.2166
 790902  -119.50  1360.5236  1365.6029
 790903  -118.50   -98.6318   -99.0000
 790904  -117.50  1359.9652  1365.0425
 790905  -116.50  1359.9586  1365.0358
 790906  -115.50  1359.9619  1365.0392
 790907  -114.50   -98.6318   -99.0000
 790908  -113.50  1360.8509  1365.9315
 790909  -112.50  1361.7168  1366.8005
 790910  -111.50  1361.6704  1366.7540
 790911  -110.50   -98.6318   -99.0000
 790912  -109.50  1361.5977  1366.6811
 790913  -108.50  1361.5811  1366.6644
 790914  -107.50  1361.5546  1366.6378
 790915  -106.50   -98.6318   -99.0000
 790916  -105.50  1361.5909  1366.6743
 790917  -104.50  1361.8421  1366.9263
 790918  -103.50  1361.8552  1366.9395
 790919  -102.50   -98.6318   -99.0000
 790920  -101.50  1361.3859  1366.4685
 790921  -100.50  1361.2702  1366.3523
 790922   -99.50  1361.1843  1366.2661
 790923   -98.50   -98.6318   -99.0000
 790924   -97.50  1361.1512  1366.2328
 790925   -96.50  1361.4519  1366.5347
 790926   -95.50  1361.3956  1366.4782
 790927   -94.50   -98.6318   -99.0000
 790928   -93.50  1360.6187  1365.6984
 790929   -92.50  1360.3245  1365.4031
 790930   -91.50  1360.5755  1365.6551
 791001   -90.50   -98.6318   -99.0000
 791002   -89.50  1361.2658  1366.3479
 791003   -88.50  1361.3384  1366.4207
 791004   -87.50  1361.6984  1366.7821
 791005   -86.50   -98.6318   -99.0000
 791006   -85.50  1361.0898  1366.1713
 791007   -84.50  1360.8748  1365.9555
 791008   -83.50  1360.7985  1365.8788
 791009   -82.50   -98.6318   -99.0000
 791010   -81.50  1360.7551  1365.8353
 791011   -80.50  1360.9168  1365.9976
 791012   -79.50  1361.2372  1366.3192
 791013   -78.50   -98.6318   -99.0000
 791014   -77.50  1361.4813  1366.5642
 791015   -76.50  1361.7025  1366.7862
 791016   -75.50  1361.4279  1366.5106
 791017   -74.50   -98.6318   -99.0000
 791018   -73.50  1360.9186  1365.9994
 791019   -72.50  1361.3084  1366.3906
 791020   -71.50  1361.4702  1366.5530
 791021   -70.50   -98.6318   -99.0000
 791022   -69.50  1361.7540  1366.8379
 791023   -68.50  1362.0643  1367.1494
 791024   -67.50  1361.9384  1367.0230
 791025   -66.50   -98.6318   -99.0000
 791026   -65.50  1361.5576  1366.6408
 791027   -64.50  1361.3028  1366.3851
 791028   -63.50  1361.4445  1366.5272
 791029   -62.50   -98.6318   -99.0000
 791030   -61.50  1361.3412  1366.4236
 791031   -60.50  1361.1657  1366.2475
 791101   -59.50  1361.5950  1366.6783
 791102   -58.50   -98.6318   -99.0000
 791103   -57.50  1361.1844  1366.2662
 791104   -56.50  1361.4649  1366.5477
 791105   -55.50  1361.5273  1366.6104
 791106   -54.50   -98.6318   -99.0000
 791107   -53.50  1360.3335  1365.4121
 791108   -52.50  1359.7910  1364.8676
 791109   -51.50  1359.9922  1365.0696
 791110   -50.50   -98.6318   -99.0000
 791111   -49.50  1360.3354  1365.4140
 791112   -48.50  1360.6556  1365.7354
 791113   -47.50  1361.0056  1366.0867
 791114   -46.50   -98.6318   -99.0000
 791115   -45.50  1361.6560  1366.7395
 791116   -44.50  1362.1546  1367.2400
 791117   -43.50  1362.2170  1367.3027
 791118   -42.50   -98.6318   -99.0000
 791119   -41.50  1361.9351  1367.0197
 791120   -40.50  1362.0370  1367.1219
 791121   -39.50  1362.0297  1367.1147
 791122   -38.50   -98.6318   -99.0000
